순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1 ,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235 ",102443496109,"12,248,257 ",22900085259,"2,635,874 ",판타지,12세이상관람가,상업영화
2 ,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912 ",47349137705,"5,871,436 ",11206299005,"1,361,799 ",판타지,12세이상관람가,상업영화
3 ,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,"1,299 ",42912306108,"5,289,693 ",10812800608,"1,303,525 ",드라마,15세이상관람가,상업영화
4 ,독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357 ",43484892913,"5,063,620 ",10658158413,"1,201,461 ",범죄,15세이상관람가,상업영화
5 ,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,씨제이이앤엠(주),2018-08-08,개봉영화,장편,한국,"1,317 ",42738909676,"4,967,936 ",10291622676,"1,157,499 ",드라마,12세이상관람가,상업영화
6 ,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,주식회사 모티브랩",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,"1,538 ",38892532642,"4,528,270 ",8403208092,"953,486 ",사극,12세이상관람가,상업영화
7 ,그것만이 내 세상,최성현,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2018-01-17,개봉영화,장편,한국,862 ,27441489382,"3,417,677 ",6258257482,"759,455 ",코미디,12세이상관람가,상업영화
8 ,마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2018-06-27,개봉영화,장편,한국,"1,117 ",27242266463,"3,189,127 ",6459971863,"732,155 ",미스터리,15세이상관람가,상업영화
9 ,탐정: 리턴즈,이언희,(주)크리픽쳐스,,씨제이이앤엠(주),2018-06-13,개봉영화,장편,한국,"1,041 ",26865775678,"3,148,047 ",5989673378,"680,077 ",코미디,15세이상관람가,상업영화
10 ,너의 결혼식,이석근,"(주)필름케이,(주)외유내강",,메가박스중앙(주)플러스엠,2018-08-22,개봉영화,장편,한국,962 ,23646937069,"2,816,621 ",5843135919,"665,677 ",멜로/로맨스,12세이상관람가,상업영화
11 ,곤지암,정범식,(주)하이브미디어코프,,(주)쇼박스,2018-03-28,개봉영화,장편,한국,"1,124 ",21442440144,"2,675,618 ",4978152594,"596,536 ",공포(호러),15세이상관람가,상업영화
12 ,지금 만나러 갑니다,이장훈,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2018-03-14,개봉영화,장편,한국,"1,163 ",20801160128,"2,602,316 ",5390273428,"652,981 ",멜로/로맨스,12세이상관람가,상업영화
13 ,목격자,조규장,(주)에이디사공육,,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,개봉영화,장편,한국,"1,021 ",21731749397,"2,524,027 ",4600439447,"514,733 ",스릴러,15세이상관람가,상업영화
14 ,조선명탐정: 흡혈괴마의 비밀,김석윤,청년필름(주),,(주)쇼박스,2018-02-08,개봉영화,장편,한국,"1,249 ",19691152764,"2,424,387 ",4072581264,"490,363 ",사극,12세이상관람가,상업영화
15 ,명당,박희곤,(주)주피터필름,,메가박스중앙(주)플러스엠,2018-09-19,개봉영화,장편,한국,"1,114 ",16989351874,"1,968,493 ",4281975824,"487,000 ",사극,12세이상관람가,상업영화
16 ,협상,이종석,"(주)제이케이필름,그리고픽처스,씨제이이앤엠(주)",,씨제이이앤엠(주),2018-09-19,개봉영화,장편,한국,918 ,15203375116,"1,743,437 ",3316984866,"367,403 ",범죄,15세이상관람가,상업영화
17 ,리틀 포레스트,임순례,(주)영화사수박,,메가박스중앙(주)플러스엠,2018-02-28,개봉영화,장편,한국,884 ,11924942185,"1,505,582 ",3853015885,"474,626 ",드라마,전체관람가,상업영화
18 ,골든슬럼버,노동석,영화사 집,,씨제이이앤엠(주),2018-02-14,개봉영화,장편,한국,833 ,11413087798,"1,387,562 ",2666693198,"315,506 ",범죄,15세이상관람가,상업영화
19 ,궁합,홍창표,(주)주피터필름,,씨제이이앤엠(주),2018-02-28,개봉영화,장편,한국,966 ,10479059438,"1,340,149 ",2478594738,"309,094 ",코미디,12세이상관람가,상업영화
20 ,사라진 밤,이창희,"(주)싸이더스,(주)엠씨엠씨,(주)더블앤조이픽쳐스",,씨네그루(주)키다리이엔티,2018-03-07,개봉영화,장편,한국,925 ,10686451316,"1,314,283 ",2577142716,"309,566 ",스릴러,15세이상관람가,상업영화
21 ,바람 바람 바람,이병헌,(주)하이브미디어코프,,(주)넥스트엔터테인먼트월드(NEW),2018-04-05,개봉영화,장편,한국,985 ,9702266675,"1,183,969 ",2250342475,"271,361 ",코미디,청소년관람불가,상업영화
22 ,챔피언,김용완,(주)코코너,,워너브러더스 코리아(주),2018-05-01,개봉영화,장편,한국,874 ,9441064230,"1,125,319 ",1846376630,"212,475 ",드라마,12세이상관람가,상업영화
23 ,염력,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,개봉영화,장편,한국,"1,099 ",7484684112,"990,111 ",1855120412,"238,805 ",드라마,15세이상관람가,상업영화
24 ,인랑,김지운,(주)루이스 픽쳐스,,워너브러더스 코리아(주),2018-07-25,개봉영화,장편,한국,"1,085 ",6995052173,"897,591 ",1768251473,"216,429 ",SF,15세이상관람가,상업영화
25 ,극장판 헬로카봇 : 백악기 시대,"최신규,김진철",(주)초이락컨텐츠팩토리,,(주)넥스트엔터테인먼트월드(NEW),2018-08-01,개봉영화,장편,한국,758 ,6529607250,"872,608 ",1090712800,"140,401 ",애니메이션,전체관람가,상업영화
26 ,상류사회,변혁,(주)하이브미디어코프,,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,개봉영화,장편,한국,867 ,6295389063,"766,219 ",1508450463,"180,106 ",드라마,청소년관람불가,상업영화
27 ,레슬러,김대웅,(주)안나푸르나필름,,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,개봉영화,장편,한국,957 ,6440492657,"765,963 ",1392248057,"159,549 ",드라마,15세이상관람가,상업영화
28 ,물괴,허종호,(주)태원엔터테인먼트,,"롯데컬처웍스(주)롯데엔터테인먼트,씨네그루(주)키다리이엔티",2018-09-12,개봉영화,장편,한국,"1,183 ",6073819354,"718,800 ",1305855954,"148,032 ",액션,15세이상관람가,상업영화
29 ,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,"씨제이이앤엠(주),(주)칵테일 미디어",,씨제이이앤엠(주),2018-07-25,개봉영화,장편,한국,762 ,5000293600,"677,941 ",699258600,"91,723 ",애니메이션,전체관람가,상업영화
30 ,버닝,이창동,"파인하우스필름(주),나우필름(주)",,CGV아트하우스,2018-05-17,개봉영화,장편,한국,739 ,4714345098,"528,153 ",1765445398,"194,098 ",미스터리,청소년관람불가,상업영화
31 ,7년의 밤,추창민,"(주)바른손,씨제이이앤엠(주)",,씨제이이앤엠(주),2018-03-28,개봉영화,장편,한국,872 ,3969375524,"528,014 ",1046793224,"133,744 ",스릴러,15세이상관람가,상업영화
32 ,변산,이준익,변산문화산업전문(유),,메가박스중앙(주)플러스엠,2018-07-04,개봉영화,장편,한국,763 ,3886144473,"474,153 ",1063664573,"126,391 ",드라마,15세이상관람가,상업영화
33 ,강철비,양우석,"(주)와이웍스엔터테인먼트,(주)모팩",,(주)넥스트엔터테인먼트월드(NEW),2017-12-14,개봉영화,장편,한국,"1,426 ",3494768900,"438,462 ",858106500,"105,608 ",액션,15세이상관람가,상업영화
34 ,흥부: 글로 세상을 바꾼 자,조근현,"(주)영화사 궁,(주)발렌타인필름",,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,개봉영화,장편,한국,627 ,3381302200,"416,346 ",886785300,"107,570 ",사극,12세이상관람가,상업영화
35 ,원더풀 고스트,조원희,(주)데이드림엔터테인먼트,,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2018-09-26,개봉영화,장편,한국,351 ,3123334600,"377,781 ",658086200,"77,311 ",코미디,12세이상관람가,상업영화
36 ,허스토리,민규동,(주)수필름,,(주)넥스트엔터테인먼트월드(NEW),2018-06-27,개봉영화,장편,한국,696 ,2507779949,"334,626 ",764899049,"99,558 ",드라마,12세이상관람가,상업영화
37 ,덕구,방수인,"(주)영화사두둥,(주)곰픽쳐스",,메가박스중앙(주)플러스엠,2018-04-05,개봉영화,장편,한국,544 ,2320848700,"306,131 ",399790500,"50,850 ",드라마,전체관람가,상업영화
38 ,치즈인더트랩,김제영,(주)마운틴무브먼트스토리,,(주)리틀빅픽쳐스,2018-03-14,개봉영화,장편,한국,364 ,1890873700,"229,005 ",557695800,"65,340 ",멜로/로맨스,15세이상관람가,상업영화
39 ,1급기밀,홍기선,"(주)미인픽쳐스,(주)미디어모굴",,(주)리틀빅픽쳐스,2018-01-24,개봉영화,장편,한국,512 ,1720160300,"217,816 ",406282500,"50,330 ",드라마,12세이상관람가,상업영화
40 ,속닥속닥,최상훈,(주)파이브데이,,(주)그노스,2018-07-13,개봉영화,장편,한국,314 ,1900972300,"217,454 ",342387100,"36,960 ",공포(호러),15세이상관람가,상업영화
41 ,나를 기억해,이한욱,(주)오아시스이엔티,,씨네그루(주)키다리이엔티,2018-04-19,개봉영화,장편,한국,545 ,1227953892,"140,849 ",289799692,"32,322 ",미스터리,청소년관람불가,상업영화
42 ,독전: 익스텐디드 컷,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-07-18,개봉영화,장편,한국,398 ,844714600,"137,775 ",236870200,"37,991 ",범죄,15세이상관람가,상업영화
43 ,게이트,신재호,삼삼공구 브라더스,,(주)제이앤씨미디어그룹,2018-02-28,개봉영화,장편,한국,208 ,820756100,"101,173 ",187520600,"22,814 ",범죄,15세이상관람가,상업영화
44 ,미니특공대X,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2018-03-22,개봉영화,장편,한국,458 ,744892200,"99,958 ",131013800,"16,957 ",애니메이션,전체관람가,상업영화
45 ,여중생A,이경섭,"(주)영화사울림,네이버웹툰 주식회사",,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,개봉영화,장편,한국,479 ,811692000,"97,850 ",304755500,"33,816 ",드라마,12세이상관람가,상업영화
46 ,번개맨과 신비의 섬,김지열,"힘컨텐츠(주),한국교육방송공사 EBS",,"힘컨텐츠(주),(주)디스테이션",2018-04-05,개봉영화,장편,한국,191 ,481474700,"59,923 ",93936000,"11,486 ",가족,전체관람가,상업영화
47 ,뽀로로 극장판 공룡섬 대모험,"김현호,윤제완",(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2017-12-07,개봉영화,장편,한국,803 ,377848700,"53,278 ",63728700,"8,221 ",애니메이션,전체관람가,상업영화
48 ,머니백,허준형,(주)젠픽쳐스,,(주)리틀빅픽쳐스,2018-04-12,개봉영화,장편,한국,472 ,411511600,"52,618 ",105898500,"12,994 ",액션,15세이상관람가,상업영화
49 ,젝스키스 에이틴,,(주)와이지엔터테인먼트,,씨제이 씨지브이(CJ CGV)(주),2018-01-18,개봉영화,장편,한국,25 ,364405500,"50,419 ",225891500,"29,333 ",다큐멘터리,전체관람가,상업영화
50 ,데자뷰,고경민,"(주)스톰픽쳐스코리아,(주)원픽쳐스",,씨네그루(주)키다리이엔티,2018-05-30,개봉영화,장편,한국,536 ,360833100,"48,279 ",78964200,"10,074 ",미스터리,15세이상관람가,상업영화
51 ,비밥바룰라,이성재,영화사김치(주),,씨네그루(주)키다리이엔티,2018-01-24,개봉영화,장편,한국,347 ,318997200,"46,819 ",102609200,"13,980 ",코미디,12세이상관람가,상업영화
52 ,극장판 뽀잉: 슈퍼 변신의 비밀,정미화,(주)크레이지버드스튜디오,,"(주)이수C&E,(주)시너지미디어",2018-09-20,개봉영화,장편,한국,292 ,276003100,"35,496 ",69962600,"8,496 ",애니메이션,전체관람가,상업영화
53 ,스파키,아론 우들리,(주)레드로버,,예지림엔터테인먼트,2018-04-12,개봉영화,장편,한국,312 ,257040200,"35,436 ",41353300,"5,315 ",애니메이션,전체관람가,상업영화
54 ,터닝메카드W: 반다인의 비밀 특별판,홍헌표,㈜희원엔터테인먼트,,"(주)제이앤씨미디어그룹,(주)아컴스튜디오",2018-02-08,개봉영화,장편,한국,168 ,164797700,"21,947 ",32933500,"4,326 ",애니메이션,전체관람가,상업영화
55 ,불한당: 나쁜 놈들의 세상,변성현,"씨제이이앤엠(주),(주)바른손",,씨제이이앤엠(주),2017-05-17,개봉영화,장편,한국,860 ,67326500,"12,262 ",30833000,"5,683 ",범죄,청소년관람불가,상업영화
56 ,해적왕 작스톰,필립 귀엔,(주)삼지애니메이션,,(주)삼지애니메이션,2018-07-25,개봉영화,장편,한국,65 ,45905800,"5,916 ",23001300,"2,613 ",애니메이션,전체관람가,상업영화
57 ,돌아와요 부산항애(愛),박희준,(주)블랙홀엔터테인먼트,,"(주)나이너스엔터테인먼트,주식회사 시온픽쳐스",2018-01-17,개봉영화,장편,한국,88 ,38622300,"5,163 ",11805700,"1,651 ",범죄,15세이상관람가,상업영화
58 ,미친도시,장태령,주식회사 케이엠스타,,영화사 마그나,2018-08-30,개봉영화,장편,한국,4 ,15790500,"2,056 ",7141500,923 ,드라마,15세이상관람가,상업영화
59 ,파파 오랑후탄,이성관,시네마미션,,파이오니아21,2018-04-19,개봉영화,장편,한국,3 ,14655000,"1,951 ",3949000,456 ,다큐멘터리,12세이상관람가,상업영화
60 ,라라,한상희,(주)도너츠컬처,,(주)영화사 그램,2018-02-22,개봉영화,장편,한국,28 ,14798800,"1,860 ",12846400,"1,600 ",멜로/로맨스,15세이상관람가,상업영화
61 ,광인옥한흠,김상철,파이오니아21,,파이오니아21,2017-12-28,개봉영화,장편,한국,18 ,10471700,"1,348 ",2577500,336 ,다큐멘터리,전체관람가,상업영화
62 ,게이트-완결판,신재호,삼삼공구 브라더스,,(주)제이앤씨미디어그룹,2018-06-21,개봉영화,장편,한국,5 ,1348000,"1,339 ",276000,267 ,범죄,15세이상관람가,상업영화
63 ,안나 카레니나,신예지,(주)비프로,,(주)비프로,2018-06-29,개봉영화,장편,한국,9 ,19632800,"1,116 ",13497200,800 ,뮤지컬,12세이상관람가,상업영화
64 ,꽃찌: 독이 있는 사랑,김문옥,스마일픽쳐스,,스마일픽쳐스,2018-08-23,개봉영화,장편,한국,2 ,2144000,"1,067 ",2144000,"1,067 ",드라마,청소년관람불가,상업영화
65 ,기억의 밤,장항준,(주)비에이엔터테인먼트,,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",2017-11-29,개봉영화,장편,한국,751 ,5692000,988 ,2492000,348 ,미스터리,15세이상관람가,상업영화
